编号,学科门类,类别,专门名称
1,学科门类：哲学,哲学类,哲学
2,学科门类：哲学,哲学类,逻辑学
3,学科门类：哲学,哲学类,宗教学
4,学科门类：经济学,经济学类,经济学
5,学科门类：经济学,经济学类,经济统计学
6,学科门类：经济学,财政学类,财政学
7,学科门类：经济学,财政学类,税收学
8,学科门类：经济学,金融学类,金融学
9,学科门类：经济学,金融学类,金融工程
10,学科门类：经济学,金融学类,保险学
11,学科门类：经济学,金融学类,投资学
12,学科门类：经济学,经济与贸易类,国际经济与贸易
13,学科门类：经济学,经济与贸易类,贸易经济
14,学科门类：法学,法学类,法学
15,学科门类：法学,政治学类,政治学与行政学
16,学科门类：法学,政治学类,国际政治
17,学科门类：法学,政治学类,外交学
18,学科门类：法学,社会学类,社会学
19,学科门类：法学,社会学类,社会工作
20,学科门类：法学,民族学类,民族学
21,学科门类：法学,马克思主义理论类,科学社会主义
22,学科门类：法学,马克思主义理论类,中国共产党历史
23,学科门类：法学,马克思主义理论类,思想政治教育
24,学科门类：法学,公安学类,治安学
25,学科门类：法学,公安学类,侦查学
26,学科门类：法学,公安学类,边防管理
27,学科门类：教育学,教育学类,教育学
28,学科门类：教育学,教育学类,科学教育
29,学科门类：教育学,教育学类,人文教育
30,学科门类：教育学,教育学类,教育技术学（注：可授教育学或理学或工学学士学位）
31,学科门类：教育学,教育学类,艺术教育（注：可授教育学或艺术学学士学位）
32,学科门类：教育学,教育学类,学前教育
33,学科门类：教育学,教育学类,小学教育
34,学科门类：教育学,体育学类,体育教育
35,学科门类：教育学,体育学类,运动训练
36,学科门类：教育学,体育学类,社会体育指导与管理
37,学科门类：教育学,体育学类,武术与民族传统体育
38,学科门类：教育学,体育学类,运动人体科学
39,学科门类：文学,中国语言文学类,汉语言文学
40,学科门类：文学,中国语言文学类,汉语言
41,学科门类：文学,中国语言文学类,汉语国际教育
42,学科门类：文学,中国语言文学类,中国少数民族语言文学
43,学科门类：文学,中国语言文学类,古典文献学
44,学科门类：文学,外国语言文学类,英语
45,学科门类：文学,外国语言文学类,俄语
46,学科门类：文学,外国语言文学类,德语
47,学科门类：文学,外国语言文学类,法语
48,学科门类：文学,外国语言文学类,西班牙语
49,学科门类：文学,外国语言文学类,阿拉伯语
50,学科门类：文学,外国语言文学类,日语
51,学科门类：文学,外国语言文学类,波斯语
