排名,专业名称,专业层次,专业类别,开设院校,人气值,MBTI,壹心理
1,商务经济学,本科,经济学类,开设院校,404235,ISTJ/INTP,研究型
2,电气工程与智能控制,本科,电气类,开设院校,240714,INTJ/ISTP,研究型
4,中医学,专科（高职）,临床医学类,开设院校,236077,INTJ/ISFJ/ESFJ,研究型
5,临床医学,本科,临床医学类,开设院校,223112,INTJ/ISFJ/ESFJ,研究型
6,航空航天工程,本科,航空航天类,开设院校,144508,ISTP/INTP,
7,口腔医学,专科（高职）,临床医学类,开设院校,143980,INTJ/ISFJ/ESFJ,研究型
8,电气工程及其自动化,本科,电气类,开设院校,124301,INTJ/ISTP,研究型
9,护理学,本科,护理学类,开设院校,119583,ISFJ,社会型
10,机械设计制造及其自动化,本科,机械类,开设院校,118268,ISTP,
11,土木工程,本科,土木类,开设院校,94482,ISTJ/INTP,研究型
12,工商管理,本科,工商管理类,开设院校,77658,ISFJ/ISTP/ESFJ,管理型
13,医学影像学,本科,临床医学类,开设院校,72647,INTJ/ISFJ/ESFJ,研究型
14,基础医学,本科,基础医学类,开设院校,60734,ESTP/INFJ,艺术型
15,建筑学,本科,建筑类,开设院校,60363,INTP/ISTJ,现实型
16,财政学,本科,财政学类,开设院校,59507,INTJ,研究型
17,心理咨询,专科（高职）,健康管理与促进类,开设院校,58125,INFP/INFJ/ENFJ,现实型、研究型、社会型
18,口腔医学,本科,口腔医学类,开设院校,58043,ISFP,现实型
19,市场营销,本科,工商管理类,开设院校,57655,ISFJ/ISTP/ESFJ,管理型
20,中医学,本科,中医学类,开设院校,56602,ESFJ/ISFJ,研究型
21,麻醉学,本科,临床医学类,开设院校,56144,INTJ/ISFJ/ESFJ,研究型
22,哲学,本科,哲学类,开设院校,53233,INFJ,社会型
23,城市轨道交通工程技术,专科（高职）,城市轨道交通类,开设院校,52165,INTP,现实型
24,金融工程,本科,金融学类,开设院校,50002,INTJ/ENTJ,研究型、现实型
25,医学营养,专科（高职）,健康管理与促进类,开设院校,49149,ESFJ/ISFJ,研究型
26,资源与环境经济学,本科,经济学类,开设院校,47358,ISTJ/INTP,研究型
27,工程造价,本科,管理科学与工程类,开设院校,40975,ENTJ/INTP,管理型
28,工程造价,专科（高职）,建设工程管理类,开设院校,40619,ENTJ/INTP/ISTJ,管理型
29,车辆工程,本科,机械类,开设院校,36425,ISTP,
30,世界语,本科,外国语言文学类,开设院校,35015,ESTP/INFJ,艺术型
31,行政管理,专科（高职）,公共管理类,开设院校,34923,ENTJ/ISFJ,管理型
32,自动化,本科,自动化类,开设院校,34918,ISTP,
33,药学,本科,药学类,开设院校,33834,INTJ/ISFJ,研究型
34,艺术设计学,本科,设计学类,开设院校,33742,INFJ/INTF,艺术型
35,计算机科学与技术,本科,计算机类,开设院校,30604,INTP/INTJ,研究型
36,考古学,本科,历史学类,开设院校,28988,INFJ,社会型
37,小学教育,本科,教育学类,开设院校,28799,ENFP/ENFJ,社会型
38,英语,本科,外国语言文学类,开设院校,27239,ESTP/INFJ,艺术型
39,心理学,本科,心理学类,开设院校,26621,INFJ/INFP,现实型、研究型
40,软件工程,本科,计算机类,开设院校,26413,INTP/INTJ,研究型
41,汉语言文学,本科,中国语言文学类,开设院校,26214,ESTP,艺术型
