编号,学校名称,招生地址,考生类别,年份,录取批次,平均分,最低分,省控线
1,广州航海学院,广东,文科,2018,本科批,0,518,443
2,广州航海学院,广东,理科,2018,本科批,0,454,376
3,中山大学,广东,文科,2018,本科批,629.5,619,443
4,中山大学,广东,理科,2018,本科批,642,607,376
5,暨南大学,广东,文科,2018,本科批,0,601,443
6,暨南大学,广东,理科,2018,本科批,0,580,376
7,暨南大学,广东,理科,2018,本科提前批,558,550,0
8,汕头大学,广东,文科,2018,本科批,585,570,443
9,汕头大学,广东,理科,2018,本科批,570.5,549,376
10,华南理工大学,广东,文科,2018,本科批,613,606,443
11,华南理工大学,广东,理科,2018,本科批,626,598,376
12,华南农业大学,广东,文科,2018,本科批,580,563,443
13,华南农业大学,广东,理科,2018,本科批,554,532,376
14,广东海洋大学,广东,理科,2018,本科批,0,444,376
15,广东海洋大学,广东,文科,2018,本科批,0,521,443
16,广州医科大学,广东,理科,2018,本科批,544.11,518,376
17,广州医科大学,广东,文科,2018,本科批,554.8,550,443
18,广东医科大学,广东,理科,2018,本科批,0,459,376
19,广东医科大学,广东,文科,2018,本科批,0,518,443
20,广州中医药大学,广东,文科,2018,专科批,0,497,215
21,广州中医药大学,广东,理科,2018,专科批,0,422,205
22,广州中医药大学,广东,理科,2018,本科批,0,514,376
23,广州中医药大学,广东,文科,2018,本科批,0,552,443
24,广东药科大学,广东,文科,2018,本科批,0,531,443
25,广东药科大学,广东,理科,2018,本科批,0,468,376
26,华南师范大学,广东,理科,2018,本科批,0,562,376
27,韶关学院,广东,文科,2018,本科批,517.42,514,443
28,韶关学院,广东,理科,2018,本科批,454.44,444,376
29,韶关学院,广东,文科,2018,专科批,480.83,468,215
30,韶关学院,广东,理科,2018,专科批,396.81,374,205
31,惠州学院,广东,文科,2018,本科批,0,524,443
32,韩山师范学院,广东,文科,2018,专科批,0,446,215
33,韩山师范学院,广东,理科,2018,专科批,0,364,205
34,韩山师范学院,广东,文科,2018,本科批,0,516,443
35,韩山师范学院,广东,理科,2018,本科批,0,439,376
36,岭南师范学院,广东,文科,2018,本科批,523,516,443
37,岭南师范学院,广东,理科,2018,本科批,463,448,376
38,岭南师范学院,广东,文科,2018,专科批,0,447,215
39,岭南师范学院,广东,理科,2018,专科批,0,353,205
40,肇庆学院,广东,文科,2018,本科批,0,519,443
41,肇庆学院,广东,理科,2018,本科批,0,451,376
42,嘉应学院,广东,文科,2018,本科批,0,512,443
43,嘉应学院,广东,理科,2018,本科批,0,441,376
44,嘉应学院,广东,文科,2018,专科批,0,443,215
45,嘉应学院,广东,理科,2018,专科批,0,356,205
46,广州体育学院,广东,文科,2018,本科批,0,524,443
47,广州体育学院,广东,理科,2018,本科批,0,451,376
48,广州美术学院,广东,文科,2018,本科批,0,443,443
49,广东技术师范大学,广东,文科,2018,本科批,0,536,443
50,广东技术师范大学,广东,理科,2018,本科批,0,473,376
