院校名称,考生类别,年份,录取批次,平均分
复旦大学,理科,2014,本科一批,669
复旦大学,文科,2014,本科一批,655
同济大学,理科,2014,本科一批,652
上海交通大学,理科,2014,本科一批,668
上海交通大学,文科,2014,本科一批,654
华东理工大学,理科,2014,本科一批,605
上海理工大学,理科,2014,本科一批,585
上海海事大学,理科,2014,本科一批,563
上海海事大学,文科,2014,本科一批,587
东华大学,理科,2014,本科一批,594
上海电力大学,理科,2014,本科二批,559
上海应用技术大学,理科,2014,本科二批,535
上海海洋大学,理科,2014,本科一批,558
上海海洋大学,文科,2014,本科一批,583
上海中医药大学,理科,2014,本科二批,547
华东师范大学,理科,2014,本科一批,618
华东师范大学,文科,2014,本科一批,622
上海师范大学,理科,2014,本科二批,561
上海师范大学,文科,2014,本科二批,577
上海外国语大学,理科,2014,本科一批,611
上海外国语大学,文科,2014,本科一批,631
上海财经大学,理科,2014,本科一批,651
上海财经大学,文科,2014,本科一批,634
上海海关学院,文科,2014,本科提前批,611
上海海关学院,文科,2014,本科二批,584
上海海关学院,理科,2014,本科提前批,612
上海海关学院,理科,2014,本科二批,561
华东政法大学,理科,2014,本科一批,596
华东政法大学,文科,2014,本科一批,612
上海体育学院,理科,2014,本科二批,541
上海体育学院,文科,2014,本科二批,559
上海音乐学院,文科,2014,本科二批,568
上海大学,理科,2014,本科一批,596
上海大学,文科,2014,本科一批,621
上海东海职业技术学院,文科,2014,专科批,364
上海东海职业技术学院,理科,2014,专科批,365
上海工程技术大学,理科,2014,本科二批,543
上海工程技术大学,文科,2014,本科二批,569
上海立信会计金融学院,理科,2014,本科二批,552
上海立信会计金融学院,文科,2014,本科二批,575
上海电机学院,理科,2014,本科二批,525
上海电机学院,文科,2014,本科二批,548
上海杉达学院,理科,2014,本科二批,489
上海杉达学院,文科,2014,本科二批,519
上海政法学院,理科,2014,本科二批,549
上海政法学院,文科,2014,本科二批,575
上海第二工业大学,文科,2014,本科二批,558
上海第二工业大学,理科,2014,本科二批,535
上海商学院,理科,2014,本科二批,535
上海商学院,文科,2014,本科二批,561
上海建桥学院,理科,2014,本科二批,479
上海建桥学院,文科,2014,本科二批,521
上海外国语大学贤达经济人文学院,理科,2014,本科二批,490
上海外国语大学贤达经济人文学院,文科,2014,本科二批,538
上海师范大学天华学院,理科,2014,本科二批,473
上海师范大学天华学院,文科,2014,本科二批,499
上海纽约大学,文科,2014,本科提前批,638
昆明理工大学,理科,2014,本科二批,551
昆明理工大学,文科,2014,本科二批,556
云南农业大学,理科,2014,本科二批,521
西南林业大学,理科,2014,本科二批,527
昆明医科大学,理科,2014,本科二批,539
昆明医科大学,文科,2014,本科二批,543
大理大学,理科,2014,本科二批,513
大理大学,文科,2014,本科二批,539
云南师范大学,理科,2014,本科二批,539
云南师范大学,文科,2014,本科二批,537
普洱学院,理科,2014,本科二批,498
红河学院,理科,2014,本科二批,507
红河学院,文科,2014,本科二批,532
云南财经大学,理科,2014,本科二批,535
云南财经大学,文科,2014,本科二批,556
玉溪师范学院,理科,2014,本科二批,501
玉溪师范学院,文科,2014,本科二批,529
云南警官学院,理科,2014,本科二批,505
云南警官学院,文科,2014,本科二批,547
云南大学滇池学院,理科,2014,本科二批,484
云南大学滇池学院,文科,2014,本科二批,517
云南大学旅游文化学院,理科,2014,本科二批,463
云南大学旅游文化学院,文科,2014,本科二批,486
云南师范大学商学院,理科,2014,本科二批,487
云南师范大学商学院,文科,2014,本科二批,521
昆明医科大学海源学院,理科,2014,本科二批,500
昆明医科大学海源学院,文科,2014,本科二批,494
楚雄医药高等专科学校,文科,2014,专科批,404
楚雄医药高等专科学校,理科,2014,专科批,411
内蒙古科技大学,理科,2014,本科二批,515
内蒙古科技大学,文科,2014,本科二批,544
内蒙古工业大学,理科,2014,本科二批,509
内蒙古农业大学,理科,2014,本科二批,501
内蒙古医科大学,理科,2014,本科二批,516
内蒙古师范大学,文科,2014,本科二批,544
内蒙古民族大学,理科,2014,本科二批,502
内蒙古民族大学,文科,2014,本科二批,525
北京大学,理科,2014,本科一批,679
北京大学,理科,2014,本科提前批,673
北京大学,文科,2014,本科一批,667
北京大学,文科,2014,本科提前批,661
中国人民大学,理科,2014,本科一批,655
中国人民大学,文科,2014,本科一批,645
清华大学,理科,2014,本科一批,683
清华大学,文科,2014,本科一批,676
北京交通大学,理科,2014,本科一批,604
北京交通大学,文科,2014,本科一批,604
北京工业大学,理科,2014,本科一批,581
北京工业大学,文科,2014,本科一批,597
北京航空航天大学,理科,2014,本科一批,650
北京航空航天大学,理科,2014,本科提前批,557
北京航空航天大学,文科,2014,本科提前批,568
北京理工大学,理科,2014,本科一批,617
北京理工大学,文科,2014,本科一批,614
北京科技大学,理科,2014,本科一批,603
北京化工大学,理科,2014,本科一批,587
北京化工大学,文科,2014,本科一批,587
北京服装学院,理科,2014,本科二批,555
北京邮电大学,理科,2014,本科一批,618
北京印刷学院,理科,2014,本科二批,522
北京印刷学院,文科,2014,本科二批,567
北京建筑大学,理科,2014,本科二批,564
北京建筑大学,文科,2014,本科二批,570
北京石油化工学院,理科,2014,本科一批,535
中国农业大学,理科,2014,本科一批,604
中国农业大学,文科,2014,本科一批,596
北京农学院,理科,2014,本科二批,510
北京林业大学,理科,2014,本科一批,585
北京林业大学,文科,2014,本科一批,599
北京中医药大学,理科,2014,本科一批,607
北京外国语大学,理科,2014,本科提前批,643
北京外国语大学,理科,2014,本科一批,633
北京外国语大学,文科,2014,本科一批,641
北京外国语大学,文科,2014,本科提前批,641
北京第二外国语学院,理科,2014,本科一批,594
北京第二外国语学院,文科,2014,本科一批,606
北京语言大学,文科,2014,本科一批,614
中国传媒大学,理科,2014,本科提前批,611
中国传媒大学,文科,2014,本科一批,629
中国传媒大学,文科,2014,本科提前批,623
中央财经大学,理科,2014,本科一批,642
中央财经大学,文科,2014,本科一批,625
对外经济贸易大学,理科,2014,本科一批,639
对外经济贸易大学,文科,2014,本科一批,631
北京物资学院,理科,2014,本科二批,546
北京物资学院,文科,2014,本科二批,561
首都经济贸易大学,理科,2014,本科二批,575
首都经济贸易大学,文科,2014,本科二批,593
外交学院,理科,2014,本科提前批,636
外交学院,文科,2014,本科提前批,638
中国人民公安大学,理科,2014,本科提前批,584
中国人民公安大学,文科,2014,本科提前批,592
国际关系学院,理科,2014,本科提前批,592
国际关系学院,文科,2014,本科提前批,609
北京体育大学,理科,2014,本科一批,578
北京体育大学,文科,2014,本科一批,592
中央民族大学,理科,2014,本科一批,593
中央民族大学,文科,2014,本科一批,611
中央民族大学,理科,2014,本科一批,593
中央民族大学,文科,2014,本科一批,611
中国政法大学,理科,2014,本科一批,624
中国政法大学,理科,2014,本科提前批,624
中国政法大学,文科,2014,本科一批,624
中国政法大学,文科,2014,本科提前批,615
中华女子学院,理科,2014,本科二批,519
中国矿业大学（北京）,理科,2014,本科一批,579
中国地质大学（北京）,理科,2014,本科一批,580
北京联合大学,文科,2014,本科二批,559
北京城市学院,理科,2014,本科二批,498
北京城市学院,文科,2014,本科二批,518
中国青年政治学院,理科,2014,本科提前批,586
中国青年政治学院,文科,2014,本科提前批,595
中国劳动关系学院,文科,2014,本科二批,545
中国劳动关系学院,理科,2014,本科二批,504
北京工商大学嘉华学院,理科,2014,本科二批,466
北京工商大学嘉华学院,文科,2014,本科二批,504
北京邮电大学世纪学院,理科,2014,本科二批,480
北京邮电大学世纪学院,文科,2014,本科二批,507
北京工业大学耿丹学院,理科,2014,本科二批,468
北京工业大学耿丹学院,文科,2014,本科二批,481
北京第二外国语学院中瑞酒店管理学院,理科,2014,本科二批,481
北京第二外国语学院中瑞酒店管理学院,文科,2014,本科二批,497
现代软件学院,文科,2014,专科批,352
现代软件学院,理科,2014,专科批,491
吉林大学,理科,2014,本科一批,600
吉林大学,文科,2014,本科一批,609
延边大学,理科,2014,本科一批,576
延边大学,文科,2014,本科一批,583
长春理工大学,理科,2014,本科二批,530
长春理工大学,文科,2014,本科二批,544
东北电力大学,理科,2014,本科二批,550
东北电力大学,文科,2014,本科二批,549
长春工业大学,理科,2014,本科二批,519
长春工业大学,文科,2014,本科二批,539
吉林建筑大学,理科,2014,本科二批,531
东北师范大学,理科,2014,本科一批,578
东北师范大学,文科,2014,本科一批,586
北华大学,理科,2014,本科二批,517
北华大学,文科,2014,本科二批,538
吉林师范大学,理科,2014,本科二批,507
吉林师范大学,文科,2014,本科二批,545
长春师范大学,理科,2014,本科二批,504
长春师范大学,文科,2014,本科二批,543
白城师范学院,理科,2014,本科二批,495
吉林财经大学,理科,2014,本科二批,537
吉林财经大学,文科,2014,本科二批,561
吉林外国语大学,理科,2014,本科二批,482
吉林外国语大学,文科,2014,本科二批,512
吉林工商学院,理科,2014,本科二批,504
吉林工商学院,文科,2014,本科二批,544
长春工程学院,理科,2014,本科二批,511
长春工程学院,文科,2014,本科二批,556
吉林农业科技学院,理科,2014,本科二批,503
吉林农业科技学院,文科,2014,本科二批,531
长春大学,理科,2014,本科二批,513
长春大学,文科,2014,本科二批,541
长春理工大学光电信息学院,理科,2014,本科二批,460
长春理工大学光电信息学院,文科,2014,本科二批,470
长春财经学院,理科,2014,本科二批,479
长春财经学院,文科,2014,本科二批,473
吉林建筑科技学院,理科,2014,本科二批,479
吉林建筑科技学院,文科,2014,本科二批,471
长春建筑学院,理科,2014,本科二批,495
长春科技学院,理科,2014,本科二批,472
长春科技学院,文科,2014,本科二批,476
吉林师范大学博达学院,理科,2014,本科二批,467
吉林师范大学博达学院,文科,2014,本科二批,482
长春大学旅游学院,文科,2014,本科二批,473
东北师范大学人文学院,文科,2014,本科二批,491
四川大学,理科,2014,本科一批,607
四川大学,文科,2014,本科一批,618
西南交通大学,理科,2014,本科一批,599
西南交通大学,文科,2014,本科一批,598
电子科技大学,理科,2014,本科一批,605
西南石油大学,理科,2014,本科二批,542
西南石油大学,文科,2014,本科二批,554
成都信息工程大学,理科,2014,本科二批,537
成都信息工程大学,文科,2014,本科二批,558
西华大学,理科,2014,本科二批,520
西华大学,文科,2014,本科二批,550
中国民用航空飞行学院,理科,2014,本科二批,550
中国民用航空飞行学院,理科,2014,本科提前批,516
中国民用航空飞行学院,文科,2014,本科提前批,545
四川农业大学,理科,2014,本科一批,561
西昌学院,理科,2014,本科二批,500
西昌学院,文科,2014,本科二批,530
西南医科大学,理科,2014,本科二批,533
成都中医药大学,理科,2014,本科二批,552
成都中医药大学,文科,2014,本科二批,577
