,学校名称,rank,province,city,top1,top2,self,考生类别,录取批次,最低分
0,清华大学,全国2 理工1,北京市,北京市,是,是,是,文科,本科批,666.0
1,清华大学,全国2 理工1,北京市,北京市,是,是,是,理科,本科批,680.0
2,复旦大学,全国4 综合3,上海市,上海市,是,是,是,理科,本科提前批,667.0
3,复旦大学,全国4 综合3,上海市,上海市,是,是,是,文科,本科提前批,641.0
4,复旦大学,全国4 综合3,上海市,上海市,是,是,是,文科,本科批,648.0
6,复旦大学,全国4 综合3,上海市,上海市,是,是,是,理科,本科批,677.0
7,上海交通大学,全国6 综合5,上海市,上海市,是,是,是,文科,本科批,653.0
8,上海交通大学,全国6 综合5,上海市,上海市,是,是,是,理科,本科批,677.0
10,中国人民大学,全国5 综合4,北京市,北京市,是,是,是,文科,本科批,640.0
11,中国人民大学,全国5 综合4,北京市,北京市,是,是,是,理科,本科批,655.0
12,南京大学,全国8 综合7,江苏,南京市,是,是,是,文科,本科批,637.0
13,南京大学,全国8 综合7,江苏,南京市,是,是,是,理科,本科批,661.0
14,北京航空航天大学,全国24 理工7,北京市,北京市,是,是,是,文科,本科批,613.0
15,北京航空航天大学,全国24 理工7,北京市,北京市,是,是,是,理科,本科批,647.0
16,同济大学,全国23 理工6,上海市,上海市,是,是,是,理科,本科批,645.0
17,同济大学,全国23 理工6,上海市,上海市,是,是,是,文科,本科批,621.0
18,上海财经大学,全国61 财经1,上海市,上海市,否,是,是,文科,本科批,631.0
19,上海财经大学,全国61 财经1,上海市,上海市,否,是,是,理科,本科批,641.0
20,南开大学,全国14 综合11,天津市,天津市,是,是,是,文科,本科批,613.0
21,南开大学,全国14 综合11,天津市,天津市,是,是,是,理科,本科批,619.0
22,中央财经大学,全国99 财经5,北京市,北京市,否,是,是,文科,本科批,613.0
23,中央财经大学,全国99 财经5,北京市,北京市,否,是,是,理科,本科批,623.0
24,对外经济贸易大学,全国91 财经3,北京市,北京市,否,是,是,文科,本科提前批,615.0
25,对外经济贸易大学,全国91 财经3,北京市,北京市,否,是,是,理科,本科提前批,619.0
26,对外经济贸易大学,全国91 财经3,北京市,北京市,否,是,是,文科,本科批,0.0
27,对外经济贸易大学,全国91 财经3,北京市,北京市,否,是,是,理科,本科批,0.0
28,武汉大学,全国7 综合6,湖北,武汉市,是,是,是,文科,本科批,625.0
29,武汉大学,全国7 综合6,湖北,武汉市,是,是,是,理科,本科批,625.0
30,中山大学,全国9 综合8,广东,广州市,是,是,是,文科,本科批,619.0
31,中山大学,全国9 综合8,广东,广州市,是,是,是,理科,本科批,607.0
32,西安交通大学,全国14 综合11,陕西,西安市,是,是,是,理科,本科批,616.0
33,西安交通大学,全国14 综合11,陕西,西安市,是,是,是,理科,本科提前批,611.0
34,西安交通大学,全国14 综合11,陕西,西安市,是,是,是,文科,本科提前批,606.0
35,西安交通大学,全国14 综合11,陕西,西安市,是,是,是,文科,本科批,609.0
36,北京理工大学,全国29 理工11,北京市,北京市,是,是,是,理科,本科批,583.0
37,北京理工大学,全国29 理工11,北京市,北京市,是,是,是,文科,本科批,607.0
38,电子科技大学,全国34 理工13,四川,成都市,是,是,是,理科,本科批,587.0
39,厦门大学,全国21 综合15,福建,厦门市,是,是,是,理科,本科批,604.0
40,厦门大学,全国21 综合15,福建,厦门市,是,是,是,文科,本科批,618.0
41,东南大学,全国22 综合16,江苏,南京市,是,是,是,理科,本科批,611.0
42,华中科技大学,全国11 理工2,湖北,武汉市,是,是,是,理科,本科批,617.0
43,华中科技大学,全国11 理工2,湖北,武汉市,是,是,是,文科,本科批,610.0
44,上海外国语大学,语言4,上海市,上海市,否,是,是,理科,本科批,603.0
45,上海外国语大学,语言4,上海市,上海市,否,是,是,理科,本科提前批,615.0
46,上海外国语大学,语言4,上海市,上海市,否,是,是,文科,本科提前批,600.0
47,上海外国语大学,语言4,上海市,上海市,否,是,是,文科,本科批,600.0
48,北京外国语大学,语言1,北京市,北京市,否,是,否,文科,本科批,626.0
49,北京外国语大学,语言1,北京市,北京市,否,是,否,理科,本科批,597.0
50,哈尔滨工业大学,全国18 理工5,黑龙江,哈尔滨市,是,是,是,理科,本科批,604.0
51,中国政法大学,全国65 政法1,北京市,北京市,否,是,是,理科,本科批,611.0
52,中国政法大学,全国65 政法1,北京市,北京市,否,是,是,文科,本科批,615.0
53,天津大学,全国13 理工3,天津市,天津市,是,是,是,理科,本科批,603.0
54,北京邮电大学,全国59 理工24,北京市,北京市,否,是,是,理科,本科批,603.0
55,国防科技大学, ,湖南 , 长沙,是,是,否,理科,本科提前批,580.0
56,国防科技大学, ,湖南 , 长沙,是,是,否,文科,本科提前批,580.0
57,华南理工大学,全国26 理工9,广东,广州市,是,是,是,文科,本科批,606.0
58,华南理工大学,全国26 理工9,广东,广州市,是,是,是,理科,本科批,598.0
59,中国社会科学院大学, ,北京市,北京市,否,否,否,文科,本科批,618.0
60,中国社会科学院大学, ,北京市,北京市,否,否,否,理科,本科批,609.0
61,西北工业大学,全国30 理工12,陕西,西安市,是,是,是,理科,本科批,592.0
62,西北工业大学,全国30 理工12,陕西,西安市,是,是,是,文科,本科批,594.0
65,大连理工大学,全国25 理工8,辽宁,大连市,是,是,是,理科,本科批,591.0
