编号,院校名称,院校排名,省份,城市,985,211,自招,院校隶属,院校举办,办学类型
1,北京大学,全国1 综合1,北京市,北京市,1,1,1,教育部,公办,大学
2,清华大学,全国2 理工1,北京市,北京市,1,1,1,教育部,公办,大学
3,复旦大学,全国4 综合3,上海市,上海市,1,1,1,教育部,公办,大学
4,上海交通大学,全国6 综合5,上海市,上海市,1,1,1,教育部,公办,大学
5,复旦大学医学院,,上海市,上海市,1,1,0,教育部,公办,大学
6,北京大学医学部,,北京市,北京市,1,1,0,教育部,公办,高等学校分校
7,上海交通大学医学院,,上海市,上海市,1,1,0,教育部,公办,高等学校分校
8,中国科学技术大学,全国16 理工4,安徽,合肥市,1,1,1,中国科学院,公办,大学
9,浙江大学医学院,,浙江,杭州市,1,1,0,教育部,公办,大学
10,中国科学院大学,,北京市,北京市,0,0,0,中国科学院,公办,大学
11,中国人民大学,全国5 综合4,北京市,北京市,1,1,1,教育部,公办,大学
12,浙江大学,全国3 综合2,浙江,杭州市,1,1,1,教育部,公办,大学
13,南京大学,全国8 综合7,江苏,南京市,1,1,1,教育部,公办,大学
14,北京航空航天大学,全国24 理工7,北京市,北京市,1,1,1,工业和信息化部,公办,大学
15,同济大学,全国23 理工6,上海市,上海市,1,1,1,教育部,公办,大学
16,哈尔滨工业大学(深圳),,广东,深圳市,1,1,0,教育部,公办,大学
17,上海财经大学,全国61 财经1,上海市,上海市,0,1,1,教育部,公办,大学
18,南开大学,全国14 综合11,天津市,天津市,1,1,1,教育部,公办,大学
19,中央财经大学,全国99 财经5,北京市,北京市,0,1,1,教育部,公办,大学
20,对外经济贸易大学,全国91 财经3,北京市,北京市,0,1,1,教育部,公办,大学
21,武汉大学,全国7 综合6,湖北,武汉市,1,1,1,教育部,公办,大学
22,中国人民大学(苏州校区),,江苏,苏州市,1,1,0,教育部,公办,大学
23,中山大学,全国9 综合8,广东,广州市,1,1,1,教育部,公办,大学
24,同济大学(中外合作办学),理工6,上海市,上海市,1,1,1,教育部,公办,大学
25,西安交通大学,全国14 综合11,陕西,西安市,1,1,1,教育部,公办,大学
26,北京理工大学,全国29 理工11,北京市,北京市,1,1,1,工业和信息化部,公办,大学
27,电子科技大学,全国34 理工13,四川,成都市,1,1,1,教育部,公办,大学
28,厦门大学,全国21 综合15,福建,厦门市,1,1,1,教育部,公办,大学
29,东南大学,全国22 综合16,江苏,南京市,1,1,1,教育部,公办,大学
30,华中科技大学,全国11 理工2,湖北,武汉市,1,1,1,教育部,公办,大学
31,上海外国语大学,语言4,上海市,上海市,0,1,1,教育部,公办,大学
32,北京外国语大学,语言1,北京市,北京市,0,1,0,教育部,公办,大学
33,哈尔滨工业大学,全国18 理工5,黑龙江,哈尔滨市,1,1,1,工业和信息化部,公办,大学
34,首都医科大学,全国100 医科2,北京市,北京市,0,0,0,北京市教育委员会,公办,大学
35,中国政法大学,全国65 政法1,北京市,北京市,0,1,1,教育部,公办,大学
36,天津大学,全国13 理工3,天津市,天津市,1,1,1,教育部,公办,大学
37,北京邮电大学,全国59 理工24,北京市,北京市,0,1,1,教育部,公办,大学
38,国防科技大学,,湖南 , 长沙,1,1,0,中国人民解放军总政治部,公办,大学
39,华南理工大学,全国26 理工9,广东,广州市,1,1,1,教育部,公办,大学
40,中央财经大学(中外合作办学),全国81 财经4,北京市,北京市,0,1,0,教育部,公办,大学
41,中国社会科学院大学,,北京市,北京市,0,0,0,中国社会科学院,公办,大学
42,西北工业大学,全国30 理工12,陕西,西安市,1,1,1,工业和信息化部,公办,大学
43,武汉大学(中外合作办学),综合6,湖北,武汉市,1,1,1,教育部,公办,大学
44,武汉大学(民族班),全国7 综合6,湖北,武汉市,1,1,1,教育部,公办,大学
45,大连理工大学,全国25 理工8,辽宁,大连市,1,1,1,教育部,公办,大学
46,中国传媒大学,语言1,北京市,北京市,0,1,1,教育部,公办,大学
47,电子科技大学沙河校区,,四川,成都市,1,1,0,教育部,公办,大学
48,西安电子科技大学,全国46 理工19,陕西,西安市,0,1,1,教育部,公办,大学
49,厦门大学(翔安校区),全国21,福建,厦门市,1,1,1,教育部,公办,大学
50,北京电影学院,艺术5,北京市,北京市,0,0,0,北京市教育委员会,公办,学院
51,哈尔滨工业大学(威海),,山东,威海市,1,1,0,工业和信息化部,公办,高等学校分校
52,北京交通大学,全国40 理工16,北京市,北京市,0,1,1,教育部,公办,大学
53,中国传媒大学(中外合作办学),,北京市,北京市,0,1,0,教育部,公办,大学
